iter	Passed	Remaining
0	43	43060
1	91	45758
2	141	47038
3	190	47412
4	235	46917
5	296	49112
6	347	49318
7	401	49796
8	451	49726
9	509	50481
10	584	52588
11	677	55766
12	729	55408
13	787	55463
14	830	54518
15	995	61244
16	1294	74843
17	1447	78973
18	1554	80261
19	1614	79117
20	1661	77479
21	1702	75679
22	1741	73967
23	1788	72747
24	1828	71307
25	1870	70072
26	1906	68721
27	1949	67659
28	1990	66656
29	2029	65619
30	2075	64862
31	2112	63909
32	2153	63105
33	2193	62324
34	2233	61588
35	2277	60985
36	2321	60425
37	2361	59795
38	2405	59280
39	2441	58591
40	2484	58116
41	2522	57544
42	2560	56986
43	2605	56599
44	2643	56096
45	2680	55595
46	2724	55242
47	2765	54856
48	2807	54494
49	2847	54095
50	2886	53720
51	2926	53351
52	2972	53112
53	3015	52820
54	3056	52514
55	3100	52267
56	3143	52000
57	3186	51751
58	3229	51501
59	3269	51221
60	3321	51122
61	3364	50902
62	3407	50675
63	3451	50474
64	3490	50204
65	3531	49980
66	3573	49765
67	3614	49540
68	3656	49338
69	3698	49136
70	3740	48941
71	3787	48822
72	3826	48586
73	3870	48429
74	3913	48266
75	3954	48078
76	3992	47860
77	4030	47637
78	4071	47462
79	4113	47300
80	4154	47130
81	4200	47028
82	4241	46865
83	4286	46746
84	4328	46592
85	4371	46456
86	4412	46300
87	4452	46139
88	4494	46002
89	4529	45797
90	4574	45690
91	4615	45550
92	4653	45381
93	4692	45225
94	4732	45087
95	4771	44934
96	4814	44822
97	4853	44672
98	4893	44538
99	4934	44410
100	4977	44300
101	5012	44128
102	5050	43987
103	5090	43858
104	5128	43716
105	5172	43627
106	5211	43494
107	5252	43384
108	5296	43291
109	5338	43197
110	5380	43092
111	5416	42947
112	5459	42852
113	5499	42738
114	5539	42630
115	5581	42531
116	5621	42421
117	5662	42322
118	5701	42206
119	5742	42111
120	5785	42031
121	5826	41929
122	5867	41838
123	5908	41741
124	5948	41636
125	5991	41558
126	6030	41454
127	6074	41383
128	6116	41295
129	6155	41196
130	6201	41138
131	6240	41036
132	6279	40932
133	6320	40848
134	6369	40814
135	6411	40730
136	6456	40671
137	6500	40606
138	6539	40509
139	6590	40483
140	6633	40412
141	6690	40427
142	6750	40455
143	6800	40426
144	6851	40401
145	6898	40349
146	6942	40283
147	6986	40221
148	7029	40147
149	7070	40067
150	7110	39977
151	7153	39908
152	7192	39816
153	7230	39719
154	7276	39666
155	7318	39594
156	7362	39532
157	7403	39453
158	7447	39391
159	7486	39306
160	7527	39229
161	7566	39141
162	7607	39063
163	7647	38984
164	7690	38918
165	7731	38845
166	7777	38796
167	7819	38723
168	7862	38662
169	7905	38599
170	7951	38547
171	7994	38483
172	8033	38401
173	8071	38316
174	8114	38251
175	8153	38174
176	8201	38135
177	8242	38062
178	8284	37998
179	8327	37934
180	8367	37862
181	8411	37805
182	8450	37726
183	8490	37654
184	8532	37588
185	8576	37533
186	8616	37462
187	8658	37398
188	8697	37323
189	8740	37263
190	8778	37182
191	8818	37110
192	8859	37044
193	8897	36966
194	8946	36932
195	8989	36874
196	9024	36784
197	9064	36715
198	9105	36649
199	9145	36580
200	9183	36505
201	9224	36440
202	9267	36384
203	9304	36305
204	9344	36237
205	9378	36148
206	9417	36079
207	9459	36020
208	9502	35962
209	9541	35892
210	9581	35828
211	9622	35766
212	9662	35699
213	9703	35640
214	9739	35561
215	9785	35518
216	9826	35458
217	9875	35424
218	9917	35367
219	9957	35302
220	9999	35246
221	10038	35180
222	10077	35113
223	10120	35059
224	10161	35000
225	10206	34956
226	10251	34908
227	10290	34844
228	10330	34780
229	10371	34720
230	10411	34661
231	10453	34605
232	10492	34539
233	10536	34491
234	10576	34429
235	10618	34375
236	10657	34311
237	10695	34244
238	10737	34190
239	10776	34126
240	10816	34064
241	10859	34015
242	10900	33957
243	10942	33902
244	10986	33856
245	11026	33795
246	11069	33747
247	11112	33696
248	11154	33643
249	11193	33580
250	11236	33529
251	11280	33484
252	11319	33423
253	11373	33405
254	11417	33355
255	11463	33314
256	11504	33260
257	11545	33204
258	11586	33149
259	11625	33087
260	11665	33029
261	11706	32974
262	11749	32924
263	11798	32892
264	11838	32835
265	11879	32781
266	11920	32726
267	11963	32677
268	12004	32622
269	12047	32571
270	12090	32523
271	12131	32469
272	12184	32446
273	12227	32399
274	12274	32361
275	12317	32310
276	12359	32260
277	12398	32200
278	12439	32146
279	12482	32097
280	12519	32033
281	12563	31987
282	12602	31928
283	12645	31881
284	12685	31826
285	12731	31783
286	12773	31732
287	12816	31686
288	12861	31641
289	12903	31591
290	12950	31553
291	12995	31509
292	13045	31477
293	13090	31433
294	13133	31386
295	13175	31336
296	13217	31285
297	13272	31265
298	13314	31215
299	13364	31184
300	13408	31138
301	13448	31084
302	13495	31043
303	13538	30996
304	13582	30949
305	13626	30903
306	13670	30858
307	13713	30809
308	13756	30763
309	13802	30721
310	13845	30672
311	13891	30633
312	13933	30582
313	13971	30522
314	14013	30473
315	14054	30421
316	14097	30373
317	14138	30321
318	14179	30270
319	14218	30214
320	14261	30167
321	14307	30124
322	14349	30075
323	14387	30017
324	14429	29968
325	14473	29923
326	14518	29880
327	14562	29834
328	14603	29783
329	14646	29736
330	14690	29690
331	14735	29648
332	14774	29593
333	14816	29544
334	14860	29499
335	14904	29454
336	14953	29419
337	14998	29375
338	15042	29330
339	15085	29284
340	15125	29231
341	15171	29189
342	15213	29141
343	15259	29099
344	15304	29055
345	15351	29017
346	15397	28975
347	15439	28926
348	15485	28884
349	15525	28833
350	15570	28790
351	15614	28745
352	15654	28692
353	15697	28645
354	15743	28604
355	15789	28562
356	15832	28516
357	15880	28477
358	15922	28429
359	15967	28387
360	16013	28344
361	16054	28294
362	16098	28250
363	16145	28210
364	16184	28157
365	16233	28120
366	16277	28075
367	16320	28028
368	16363	27981
369	16407	27937
370	16450	27889
371	16501	27857
372	16547	27816
373	16589	27767
374	16632	27720
375	16671	27667
376	16711	27616
377	16754	27568
378	16797	27522
379	16842	27479
380	16882	27428
381	16929	27388
382	16969	27337
383	17015	27295
384	17059	27250
385	17100	27201
386	17145	27158
387	17185	27107
388	17231	27064
